"Greenhouse Gas Gross Total, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Massachusetts,90.94428868993172,88.89390978005181,90.55635755479942,86.77493522666845,87.57382203912483,84.97950313853774,85.97731576567999,92.06064817384376,90.56362840732021,88.20504658367062,89.00146362894428,89.17486622360961,89.68624590558076,92.05342832,89.68379504376998,90.26007259726734,83.90504154,87.14242601978815,82.37674597763888,77.82444648567952,79.78330639,75.72345402812273,69.43821399797778,73.42972361219942,72.5382607,73.89943421492508,70.80807589819042,70.35707866315053,70.35705603632658,69.50475338,59.14705648924646,62.19468652
Montana,50.85441442,52.70790046775301,53.422962157867495,52.63185331,54.959188476926094,55.749858504718205,52.849679769600094,55.70964361,56.33601158629389,57.48530914185619,55.349140515532696,54.532197024467806,54.259309635301285,56.67556545731501,58.862458651560495,59.70164468996741,60.218373165269405,61.99555014232249,60.608913539201204,57.317864109656206,59.37615665,57.259389286636505,52.20319054,56.11610086657021,59.14757392092741,57.116049695468796,54.92088861242309,55.30730016941391,56.43127591933491,58.63562450879529,48.80106817069011,52.25060135
Oregon,44.27714619292518,46.67260968815967,47.895749905992965,48.413298303474754,49.589392337537696,48.33973630322768,50.73137234460373,50.40817317599852,56.309922767827665,57.192933030038354,55.39533466282359,54.00240900848563,52.85929031977481,54.23604182964621,54.92607819608955,55.10159293135526,54.10032615272669,57.50070719324519,56.35195285785999,53.55410373,52.29093486472826,49.03002733501385,48.026005429575704,50.43745267244563,49.37997798627711,50.07433150571842,49.85495905561158,51.415886383692474,52.11316216398151,54.606667684999344,50.44450293692929,51.42849527
Nevada,36.024837462684594,38.141126598645606,39.0222481,41.89637768326539,43.82180112,43.04432996,45.54974098937921,45.54406263745441,48.63235825,48.921210155378404,52.86373387,52.06934905021401,48.97285445,51.56983514,55.86848827901281,58.436636832318996,49.140999687479294,48.623418411404614,47.91330351,46.58829939,46.57167367,42.91955223384541,43.25894131,44.8555862,45.86630565,43.83293102,44.74443620064809,44.58543711198791,45.89077378800429,46.76453211,42.071393434858294,45.06104554452111
South Dakota,31.56375056,31.707304116466904,32.69739434,34.69474244,35.28504296,35.293638564152104,35.36710811474709,34.99569381954281,35.15364627,35.626215891041106,35.66252999,37.57917079,36.01258730129669,36.75871984597879,38.45935739,37.476003754337704,38.70427565349911,39.04553582585759,39.12545607,40.02724201303111,39.43332056,39.421288029490405,38.00587889073331,41.235262050713295,42.278231194427995,39.725996794008005,40.27364996,42.092992782274806,44.53966365055899,43.91621666,41.352477425773515,42.21583064
Connecticut,45.37775924,44.590307880278594,44.55134788384309,42.21161928,41.73972663288999,41.09046114,43.81345067848051,47.41858053,44.614526173348104,45.47669531557461,47.86899204,46.23665132,44.46926743,47.935837442141505,49.97040177,48.07531576013951,46.09282767,45.17570316,41.90252159,40.63058412,41.05648974508111,39.592703485350306,38.41401493,39.13897442,39.69896426,40.793349028739705,38.365849765027804,37.45481507493769,41.3074611,40.58467655845631,37.91923223,39.85992689
Alaska,36.016546656333404,36.936039,38.1966389,38.686734215097694,38.37452335134861,43.24454237,44.75746085,43.304068618872904,44.14659903,44.29459249378311,44.72749226,44.68442993,44.760201549498404,44.68528044,47.182236231195596,48.87946494,46.362935684808996,44.73385126,40.760236720387205,39.78013754,39.243344350009195,38.38106288193401,36.866642827471395,35.455154575130294,35.73168456,35.34140701836039,33.83457098263089,34.36366421,33.53073023,33.69993028668411,35.630558302831496,37.91546579005921
Idaho,22.793963536460726,23.766247009134826,23.06686973098923,24.70345179924438,24.79606172972157,26.57824368016273,27.453397271361478,27.848332471781998,28.703577473689823,29.18345744118472,30.221424821751498,29.83873925335949,29.92483303850112,29.94987849968715,31.09165186631371,31.807091255007737,32.56475210021024,32.910212900083074,32.24619807210905,32.292688183551135,31.380863473625777,31.82183943,31.43973411,33.50511767,32.465203682144704,33.27976875,33.941998647707685,34.73177912,34.833992593737115,36.44954475,36.98381402152303,37.83128822920632
Hawaii,20.049164580563357,17.791311822838257,19.27397794901426,18.369873829701266,19.475737525518927,19.611309146241357,19.666795074578644,19.320490907219273,19.359393256801816,18.35858567418629,18.856730695133276,18.549056824028902,19.54463426258839,19.37234700403955,20.16665716357658,21.262525146574518,21.741649470586868,20.922955413118494,19.292695134032787,18.41950998756327,19.105981912612634,19.442250658623834,18.971765910132152,18.988255186493227,18.972235533333272,18.999876558739246,18.921252826206143,19.30908058342394,18.928162400310168,19.35636837,15.263004368025914,17.148713781198058
Maine,21.08488076100022,20.94507404214742,21.889502714870318,21.184261923926726,22.362079122598487,21.35625205490628,22.265034604579178,22.469755797831567,21.914109343525908,23.248125169708356,25.143614021669983,25.47521634,26.82827429988539,26.792249285943598,27.12125425415333,25.95595109200178,24.737853686271713,24.290279876735436,22.336898496921194,21.32239084784307,20.567204291892878,20.40684384,18.114632622467102,19.02538181,19.18802199,19.191651571228498,18.43425164,17.016101597395902,16.959698889376497,16.59420646,15.648161880295199,16.118552233898303
New Hampshire,16.87216424,16.65300863,16.68511191,17.09954374,17.29600974,17.54871321,17.89194777,19.580764105555698,19.01168609,19.13404896,19.6002151,19.26059634,19.28325103,23.31336676,24.43293272,23.645795934164603,22.02246081,21.62962407,20.86073295,19.381255748203696,18.96313558,18.581965969303695,16.73708312,16.57236585,17.35852406,17.29838823,15.635765247646901,15.105526585606999,16.09296766,15.78495385,14.245040345806803,14.953750162518102
Delaware,19.71309927,18.97111534,18.96280225,20.3598844,19.932505866067697,19.18331425,19.47266551,18.100408894237702,17.52340124,17.72527539,17.82109887,17.521456880145298,17.47670626,18.298364215104403,18.238193618729206,19.06188998,18.03991503,19.006930279242198,17.83312845,13.60438684,14.262882412022199,15.357494306753901,16.024109976519103,15.78311358,15.61164066,15.861276001787502,16.75979357,15.49658067,15.73949612,15.35839703,14.274110115308499,14.705254563114398
Rhode Island,10.241028927813199,11.95507202,14.34121104,11.88239141,13.951276341488601,13.253819165460701,14.754809717133703,14.504519815744999,15.11514017,14.344879776219202,12.99523547,13.60918062,12.874982378982699,12.83922131,12.33122049,12.46960925,11.903285798628701,12.31200162,11.781113388043199,12.281004826535998,12.117610176799499,11.99224718,11.52626048,11.06034071,11.5990353,11.81670513,10.57337255,10.830894176236301,12.011053450024201,11.38831311,10.70980751,11.36979689
Vermont,7.649251162936002,7.852507274632001,8.222172014888102,8.405391701208403,8.249754922645604,8.380122873604689,8.930062965598696,8.996231953980438,8.920816372106065,8.863040131479508,9.264244373752176,9.216165765353203,8.912346794082021,9.197110572,9.570102179461513,9.336754715,9.327843506,9.072096820626385,8.338485558735497,8.672063334161667,8.470306242143396,8.574577119164502,8.050610113252898,8.418574701416402,8.603575936748399,8.842640989,8.526891049622098,8.319548318,8.491329820346401,8.847067693867698,8.166838471,8.125117014532398
District Of Columbia,4.90821745,4.784532074,4.909624219,5.117161687,5.052102336401401,4.891365632,4.853790577,4.7857567126967995,4.620172543,4.649948990121901,4.88775374,4.735444427,4.895878136554201,4.600942177712501,4.63131883,4.845513849145401,3.9117109973829005,4.057701661179601,3.7887799705965004,3.8402598517671005,3.9326273980294992,3.6588430836728003,3.156936351,3.380597013557199,3.608212575,3.5510789726029004,3.3610390679298003,3.1132742216057006,4.141669207,3.372236564470601,2.962949218,3.0765185757657005
Total,908.1292108,721.6656229,527.8879694,413.1794766,181.570039,412.7098178,576.7184895,832.8768921,1458.645769,923.365839,2013.331695,440.8610055,447.1159771,574.7379293,981.2636956,616.3361737,964.5336955,415.216697,516.7069495,286.9451294,641.9559442,566.6284953,541.7291972,780.8490795,678.239006,520.2437581,331.5745761,267.2551215,289.545619,674.9668471,448.0946949,521.8549219
