"","Event","Mean","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"237",1,63140,61908,60386.315492561,65901.3465626298,58926.5749445908,67361.0871106001
"238",14,62552,62545,58963.6038458701,64400.6435636138,57524.5063619069,65839.7410475771
"239",1,62559,62440,59805.8321738758,65318.5314213032,58346.7088220768,66777.6547731023
"240",1,62517,61971,59762.639554171,65273.9477246883,58303.884398189,66732.7028806703
"241",1,62286,64239,59532.2949700522,65042.3037675485,58073.8837373339,66500.7150002666
"242",1,63182,62713,60433.4800299726,65943.2459734591,58975.1330768279,67401.5929266037
"243",1,62930,62965,60181.8037994984,65690.2456020364,58723.807325292,67148.2420762429
"244",1,62923,61936,60175.9565077129,65683.0092145635,58718.3277049256,67140.6380173508
"245",1,62468,62111,59715.76276601,65221.7178360768,58258.4244901299,66679.0561119569
"246",1,62321,61908,59574.4466433467,65079.0549971874,58117.4648217199,66536.0368188142
"247",1,62167,63329,59417.5483864739,64920.8186136313,57960.9207455858,66377.4462545194
"248",1,62720,62580,59975.085737782,65477.3809671951,58518.7161632081,66933.750541769
"249",1,62650,61789,59906.449041264,65407.3623013504,58450.4452518755,66863.3660907388
"250",1,62265,60480,59521.3905804712,65021.1490992804,58065.6924326364,66476.8472471153
"251",6,61502,58198,54842.98356313,59976.1712505294,53484.3108535046,61334.8439601547
"252",1,60116,60032,57368.3195940254,62869.5669815926,55912.2273664349,64325.6592091831
"253",1,60277,60774,57528.8060481373,63028.6734957939,56073.0790685781,64484.4004753531
"254",11,60676,58646,55871.4456165867,61174.3694147258,54467.8464722498,62577.9685590627
"255",15,59913,57659,55031.5471086986,60324.3555770179,53630.6253304375,61725.277355279
"256",15,59108,60942,58027.8920322137,63688.9402445334,56529.5030812637,65187.3291954835
"257",15,60186,62349,58976.3475995919,64621.3993486255,57482.1926567164,66115.554291501
"258",15,61397,62314,60447.625084967,66117.7529399843,58946.8328977634,67618.5451271879
"259",1,61845,61453,59099.5561847533,64596.6779465013,57644.5559443552,66051.6781868994
"260",15,61705,65555,62188.4255796788,67985.1719897219,60654.1194853824,69519.4780840184
"261",15,63469,62482,59039.2452422564,64385.4557843216,57624.1887888861,65800.5122376918
"262",15,62930,69293,66358.2022563812,72419.653898823,64753.83291927,74024.0232359341
