"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2027.000",63720.8070758111,49004.7670832599,78436.8470683623,41214.5660817591,86227.0480698631
"2027.019",63730.2296504141,48942.5776130331,78517.881687795,41114.4674849171,86345.9918159111
"2027.038",63739.652225017,48880.7332705658,78598.5711794682,41014.8967154344,86464.4077345996
"2027.058",63749.0747996199,48819.2291135039,78678.920485736,40915.8462146327,86582.3033846072
"2027.077",63758.4973742229,48758.0603163392,78758.9344321065,40817.3086025341,86699.6861459116
"2027.096",63767.9199488258,48697.222166579,78838.6177310727,40719.2766720029,86816.5632256488
"2027.115",63777.3425234288,48636.710061074,78917.9749857835,40621.7433831298,86932.9416637277
"2027.135",63786.7650980317,48576.5195024997,78997.0106935637,40524.7018578505,87048.8283382129
"2027.154",63796.1876726346,48516.6460959808,79075.7292492885,40428.1453747833,87164.229970486
"2027.173",63805.6102472376,48457.0855458539,79154.1349486212,40332.0673642779,87279.1531301973
"2027.192",63815.0328218405,48397.8336525596,79232.2319911214,40236.4614036624,87393.6042400186
"2027.212",63824.4553964434,48338.8863096593,79310.0244832276,40141.3212126809,87507.589580206
"2027.231",63833.8779710464,48280.2395009695,79387.5164411233,40046.6406491109,87621.1152929819
"2027.250",63843.3005456493,48221.8892978092,79464.7117934895,39952.4137045532,87734.1873867454
"2027.269",63852.7231202523,48163.8318563535,79541.614384151,39858.6345003851,87846.8117401194
"2027.288",63862.1456948552,48106.0634150901,79618.2279746203,39765.2972838697,87958.9941058407
"2027.308",63871.5682694581,48048.5802923718,79694.5562465445,39672.3964244137,88070.7401145026
"2027.327",63880.9908440611,47991.3788840631,79770.602804059,39579.9264099674,88182.0552781547
"2027.346",63890.413418664,47934.4556612744,79846.3711760536,39487.88184356,88292.944993768
"2027.365",63899.835993267,47877.8071681808,79921.8648183531,39396.2574399632,88403.4145465707
"2027.385",63909.2585678699,47821.4300199215,79997.0871158183,39305.0480224794,88513.4691132604
"2027.404",63918.6811424728,47765.3209005766,80072.041384369,39214.2485198465,88623.1137650991
"2027.423",63928.1037170758,47709.4765612168,80146.7308729347,39123.8539632562,88732.3534708954
"2027.442",63937.5262916787,47653.8938180242,80221.1587653332,39033.8594834788,88841.1930998786
"2027.462",63946.9488662816,47598.5695504795,80295.3281820838,38944.2603080922,88949.637424471
