"","Event","Mean","data.frame(forecast_demand_withshock).Point.Forecast","data.frame(forecast_demand_withshock).Lo.80","data.frame(forecast_demand_withshock).Hi.80","data.frame(forecast_demand_withshock).Lo.95","data.frame(forecast_demand_withshock).Hi.95"
"259",16,59418,62634,58278.7859874937,63903.7031082266,56789.9603588099,65392.5287369104
"260",15,60694,61476,57403.9325203141,62824.2418927497,55969.2632912632,64258.9111218006
"261",15,60787,60386,57288.8765334422,62688.4333291246,55859.7001796583,64117.6096829085
"262",15,60354,57177,55615.0570892837,60894.8768355803,54217.5732180737,62292.3607067903
"263",15,58735,60658,57147.947529363,62731.9013523984,55669.9642306439,64209.8846511175
"264",15,59520,66071,62537.6941229988,68563.582839916,60942.7377236814,70158.5392392334
"265",15,62279,59908,56282.3101958173,61465.4626154655,54910.4126204196,62837.3601908632
"266",1,60866,59286,58125.114472701,63608.4190710562,56673.7714145392,65059.762129218
"267",1,59933,59469,57192.3621008979,62675.0475096271,55741.1829323303,64126.2266781947
"268",5,59578,59386,56797.5488935788,62275.0153563224,55347.7510965712,63724.8131533299
"269",1,59378,58859,56638.2179118162,62118.2457699309,55187.7421544063,63568.7215273407
"270",1,59054,58444,56314.8376160804,61793.5809580204,54864.7018495647,63243.7167245361
"271",5,58720,59027,55726.3102523539,61178.7889815355,54283.1263089074,62621.972924982
"272",1,58821,59963,56082.9704191943,61559.1253376787,54633.5197669827,63008.5759898903
"273",1,59280,59038,56543.2304314008,62018.411502633,55094.0375409867,63467.6043930471
"274",1,59092,58935,56355.7210038802,61829.5582265829,54906.8838086858,63278.3954217773
"275",1,58960,58128,56224.0314001549,61696.5156051207,54775.5523271231,63144.9946781526
"276",1,58544,58407,55808.6829113656,61280.0145109003,54360.5089145631,62728.1885077029
"277",1,58471,59659,55736.4880170463,61206.466820308,54288.6720837882,62654.2827535661
"278",1,58987,60678,56253.1111263778,61722.152222815,54805.5433891238,63169.719960069
"279",1,59680,58711,56945.79831392,62414.334072556,55498.3643315024,63861.7680549736
"280",1,59143,57360,56410.2069398326,61877.6662420693,54963.0578782132,63324.8153036888
"281",1,58299,58261,55565.5469930949,61032.5992208422,54118.5056775844,62479.6405363527
"282",1,58297,58555,55564.1617594395,61029.860381939,54117.4787215961,62476.5434197824
"283",1,58424,58298,55692.7316552641,61157.0969132128,54246.401537699,62603.4270307779
"284",1,58372,58823,55640.5989848969,61103.616979558,54194.6254663835,62549.5904980714
"285",1,58577,59023,55846.9217724728,61308.6490579542,54401.2898840429,62754.280946384
"286",1,58762,59355,56032.5766126888,61493.0127459968,54587.2864715959,62938.3028870897
"287",1,58996,60240,56266.8936125489,61726.0849218179,54821.9329564764,63171.0455778904
"288",1,59496,57385,56767.6145719177,62225.9173910681,55322.8890849741,63670.6428780117
"289",1,58479,59310,55750.5264430593,61208.8058379672,54305.8071561382,62653.5251248883
"290",1,58846,59317,56117.9313973146,61575.0685838177,54673.5144346961,63019.4855464361
"291",1,59023,58188,56295.1206554215,61750.9779418423,54851.0424618914,63195.0561353725
"292",1,58611,59335,55884.1058075857,61338.8252953654,54440.3287711643,62782.6023317867
"293",1,58921,57490,56194.6857422287,61648.2167649327,54751.2232735113,63091.6792336501
"294",1,58258,56671,55531.8216434471,60984.6174899522,54088.5537641153,62427.885369284
"295",1,57585,54396,54858.9445399387,60311.1457650105,53415.8340473933,61754.256257556
"296",1,56264,56482,53537.3144654676,58991.1887262942,52093.761147107,60434.7420446549
"297",1,56556,55463,53830.3148224059,59282.8620112123,52387.1127587913,60726.064074827
"298",1,56241,56726,53515.3928720866,58966.9548609143,52072.4515751547,60409.8961578462
"299",1,56644,56346,53919.1440124545,59369.4361779383,52476.5388174593,60812.0413729335
"300",1,56662,58512,53938.345395409,59387.3260099373,52496.0873469821,60829.5840583642
"301",1,57621,57800,54897.3632039247,60346.0168074231,53455.1917100891,61788.1883012587
"302",1,57757,58420,55033.9549688372,60481.2816694412,53592.1346849828,61923.1019532957
"303",1,58093,58847,55370.2397415433,60816.3605986743,53928.7386251767,62257.861715041
"304",1,58438,58674,55716.1860502377,61161.1401656966,54274.9937517375,62602.3324641969
"305",1,58525,57753,55803.3299179484,61246.9669077266,54362.4862415571,62687.8105841179
"306",1,58161,57309,55439.7881331519,60882.2691046757,53999.2504363098,62322.8068015178
"307",15,57794,58292,55952.1752825044,61480.3382907326,54488.9589204615,62943.5546527756
"308",15,58053,59225,57958.2832279918,63656.4291267068,56450.0751125838,65164.6372421147
"309",15,58585,55086,54115.3395843269,59384.0628465314,52720.7927750415,60778.6096558168
"310",15,57016,58436,56877.729082537,62577.9896272412,55368.9612541454,64086.7574556328
"311",15,57748,57038,53762.2930131055,59077.874192741,52355.3436622572,60484.8235435893
"312",15,57477,54354,51808.7988931226,56955.4131701732,50446.5723798856,58317.6396834101
