"Week","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
292,10.3947671102043,9.92486619844896,10.8646680219596,9.67611568165128,11.1134185387573
293,10.4200318220238,9.94827558817899,10.8917880558686,9.69854292319425,11.1415207208533
294,10.4452965338433,9.97168256387763,10.9189105038089,9.72096647279479,11.1696265948917
295,10.4705612456628,9.99508712859397,10.9460353627315,9.74338633511615,11.1977361562094
296,10.4958259574822,10.0184892853662,10.9731626295983,9.76580251480473,11.2258494001598
297,10.5210906693017,10.0418890372215,11.000292301382,9.78821501649031,11.2539663221132
298,10.5463553811212,10.0652863871764,11.0274243750661,9.8106238447861,11.2820869174563
299,10.5716200929407,10.0886813382363,11.0545588476451,9.83302900428878,11.3102111815926
300,10.5968848047602,10.1120738933963,11.0816957161241,9.85543049957862,11.3383391099418
301,10.6221495165797,10.1354640556406,11.1088349775188,9.87782833521964,11.3664706979397
302,10.6474142283992,10.1588518279426,11.1359766288557,9.90022251575956,11.3946059410388
303,10.6726789402187,10.1822372132656,11.1631206671717,9.92261304572994,11.4227448347074
304,10.6979436520382,10.2056202145621,11.1902670895143,9.94499992964639,11.4508873744299
305,10.7232083638576,10.2290008347741,11.2174158929412,9.9673831720085,11.4790335557068
306,10.7484730756771,10.2523790768334,11.2445670745208,9.98976277729994,11.5071833740543
307,10.7737377874966,10.2757549436615,11.2717206313317,10.0121387499887,11.5353368250046
308,10.7990024993161,10.2991284381696,11.2988765604627,10.0345110945269,11.5634939041053
309,10.8242672111356,10.3224995632584,11.3260348590128,10.0568798153512,11.59165460692
310,10.8495319229551,10.3458683218188,11.3531955240914,10.0792449168826,11.6198189290276
311,10.8747966347746,10.3692347167315,11.3803585528176,10.1016064035268,11.6479868660224
312,10.9000613465941,10.3925987508671,11.407523942321,10.123964279674,11.6761584135141
313,10.9253260584136,10.4159604270862,11.4346916897409,10.1463185496991,11.704333567128
314,10.950590770233,10.4393197482396,11.4618617922265,10.1686692179619,11.7325123225042
315,10.9758554820525,10.4626767171679,11.4890342469371,10.191016288807,11.760694675298
316,11.001120193872,10.4860313367023,11.5162090510418,10.213359766564,11.78888062118
317,11.0263849056915,10.5093836096637,11.5433862017193,10.2356996555476,11.8170701558354
318,11.051649617511,10.5327335388638,11.5705656961582,10.2580359600574,11.8452632749646
319,11.0769143293305,10.5560811271042,11.5977475315567,10.2803686843784,11.8734599742826
320,11.10217904115,10.5794263771772,11.6249317051227,10.3026978327808,11.9016602495191
321,11.1274437529695,10.6027692918653,11.6521182140736,10.3250234095203,11.9298640964186
322,11.152708464789,10.6261098739415,11.6793070556364,10.3473454188378,11.9580715107401
323,11.1779731766084,10.6494481261695,11.7064982270474,10.3696638649598,11.9862824882571
324,11.2032378884279,10.6727840513033,11.7336917255526,10.3919787520985,12.0144970247574
325,11.2285026002474,10.6961176520878,11.760887548407,10.4142900844516,12.0427151160432
326,11.2537673120669,10.7194489312584,11.7880856928754,10.4365978662028,12.0709367579311
327,11.2790320238864,10.7427778915413,11.8152861562315,10.4589021015212,12.0991619462516
328,11.3042967357059,10.7661045356535,11.8424889357583,10.4812027945621,12.1273906768496
329,11.3295614475254,10.7894288663027,11.869694028748,10.5034999494668,12.1556229455839
330,11.3548261593449,10.8127508861877,11.896901432502,10.5257935703626,12.1838587483272
